group,artifact,version,classification,license,source_pom,pom_chain,fetch_status
com.github.victools,jsonschema-generator,4.38.0,parent-pom,"The Apache License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/com/github/victools/jsonschema-generator-parent/4.38.0/jsonschema-generator-parent-4.38.0.pom,https://repo.maven.apache.org/maven2/com/github/victools/jsonschema-generator/4.38.0/jsonschema-generator-4.38.0.pom | https://repo.maven.apache.org/maven2/com/github/victools/jsonschema-generator-parent/4.38.0/jsonschema-generator-parent-4.38.0.pom,ok | ok
com.github.victools,jsonschema-module-jackson,4.38.0,parent-pom,"The Apache License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/com/github/victools/jsonschema-generator-parent/4.38.0/jsonschema-generator-parent-4.38.0.pom,https://repo.maven.apache.org/maven2/com/github/victools/jsonschema-module-jackson/4.38.0/jsonschema-module-jackson-4.38.0.pom | https://repo.maven.apache.org/maven2/com/github/victools/jsonschema-generator-parent/4.38.0/jsonschema-generator-parent-4.38.0.pom,ok | ok
com.github.victools,jsonschema-module-jakarta-validation,4.38.0,parent-pom,"The Apache License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/com/github/victools/jsonschema-generator-parent/4.38.0/jsonschema-generator-parent-4.38.0.pom,https://repo.maven.apache.org/maven2/com/github/victools/jsonschema-module-jakarta-validation/4.38.0/jsonschema-module-jakarta-validation-4.38.0.pom | https://repo.maven.apache.org/maven2/com/github/victools/jsonschema-generator-parent/4.38.0/jsonschema-generator-parent-4.38.0.pom,ok | ok
com.github.victools,jsonschema-module-swagger-2,4.38.0,parent-pom,"The Apache License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/com/github/victools/jsonschema-generator-parent/4.38.0/jsonschema-generator-parent-4.38.0.pom,https://repo.maven.apache.org/maven2/com/github/victools/jsonschema-module-swagger-2/4.38.0/jsonschema-module-swagger-2-4.38.0.pom | https://repo.maven.apache.org/maven2/com/github/victools/jsonschema-generator-parent/4.38.0/jsonschema-generator-parent-4.38.0.pom,ok | ok
com.google.guava,failureaccess,1.0.3,parent-pom,"Apache License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/com/google/guava/guava-parent/33.4.0-android/guava-parent-33.4.0-android.pom,https://repo.maven.apache.org/maven2/com/google/guava/failureaccess/1.0.3/failureaccess-1.0.3.pom | https://repo.maven.apache.org/maven2/com/google/guava/guava-parent/33.4.0-android/guava-parent-33.4.0-android.pom,ok | ok
com.google.guava,guava,33.7.1-jre,parent-pom,"Apache License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/com/google/guava/guava-parent/33.7.1-jre/guava-parent-33.7.1-jre.pom,https://repo.maven.apache.org/maven2/com/google/guava/guava/33.7.1-jre/guava-33.7.1-jre.pom | https://repo.maven.apache.org/maven2/com/google/guava/guava-parent/33.7.1-jre/guava-parent-33.7.1-jre.pom,ok | ok
com.google.guava,listenablefuture,9999.0-empty-to-avoid-conflict-with-guava,parent-pom,"The Apache Software License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/com/google/guava/guava-parent/26.0-android/guava-parent-26.0-android.pom,https://repo.maven.apache.org/maven2/com/google/guava/listenablefuture/9999.0-empty-to-avoid-conflict-with-guava/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.pom | https://repo.maven.apache.org/maven2/com/google/guava/guava-parent/26.0-android/guava-parent-26.0-android.pom,ok | ok
com.sun.istack,istack-commons-runtime,4.1.2,parent-pom,Eclipse Distribution License - v 1.0 <http://www.eclipse.org/org/documents/edl-v10.php>,https://repo.maven.apache.org/maven2/com/sun/istack/istack-commons/4.1.2/istack-commons-4.1.2.pom,https://repo.maven.apache.org/maven2/com/sun/istack/istack-commons-runtime/4.1.2/istack-commons-runtime-4.1.2.pom | https://repo.maven.apache.org/maven2/com/sun/istack/istack-commons/4.1.2/istack-commons-4.1.2.pom,ok | ok
com.sun.xml.bind.jaxb,isorelax,20090621,no-pom-license,,,https://repo.maven.apache.org/maven2/com/sun/xml/bind/jaxb/isorelax/20090621/isorelax-20090621.pom | https://repo.maven.apache.org/maven2/net/java/jvnet-parent/3/jvnet-parent-3.pom,ok | ok
commons-codec,commons-codec,1.19.0,parent-pom,Apache-2.0 <https://www.apache.org/licenses/LICENSE-2.0.txt>,https://repo.maven.apache.org/maven2/org/apache/apache/35/apache-35.pom,https://repo.maven.apache.org/maven2/commons-codec/commons-codec/1.19.0/commons-codec-1.19.0.pom | https://repo.maven.apache.org/maven2/org/apache/commons/commons-parent/85/commons-parent-85.pom | https://repo.maven.apache.org/maven2/org/apache/apache/35/apache-35.pom,ok | ok | ok
commons-io,commons-io,2.22.0,parent-pom,Apache-2.0 <https://www.apache.org/licenses/LICENSE-2.0.txt>,https://repo.maven.apache.org/maven2/org/apache/apache/37/apache-37.pom,https://repo.maven.apache.org/maven2/commons-io/commons-io/2.22.0/commons-io-2.22.0.pom | https://repo.maven.apache.org/maven2/org/apache/commons/commons-parent/98/commons-parent-98.pom | https://repo.maven.apache.org/maven2/org/apache/apache/37/apache-37.pom,ok | ok | ok
de.focus-shift,jollyday-core,2.19.0,parent-pom,Apache License 2.0 <https://www.apache.org/licenses/LICENSE-2.0.txt>,https://repo.maven.apache.org/maven2/de/focus-shift/jollyday/2.19.0/jollyday-2.19.0.pom,https://repo.maven.apache.org/maven2/de/focus-shift/jollyday-core/2.19.0/jollyday-core-2.19.0.pom | https://repo.maven.apache.org/maven2/de/focus-shift/jollyday/2.19.0/jollyday-2.19.0.pom,ok | ok
de.focus-shift,jollyday-jaxb,2.19.0,parent-pom,Apache License 2.0 <https://www.apache.org/licenses/LICENSE-2.0.txt>,https://repo.maven.apache.org/maven2/de/focus-shift/jollyday/2.19.0/jollyday-2.19.0.pom,https://repo.maven.apache.org/maven2/de/focus-shift/jollyday-jaxb/2.19.0/jollyday-jaxb-2.19.0.pom | https://repo.maven.apache.org/maven2/de/focus-shift/jollyday/2.19.0/jollyday-2.19.0.pom,ok | ok
